2018-02-10,Southampton FC,Liverpool FC
2018-02-10,Stoke City FC,Brighton & Hove Albion
2018-02-10,Swansea City FC,Burnley FC
2018-02-10,Tottenham Hotspur FC,Arsenal FC
2018-02-10,West Ham United FC,Watford FC
2018-02-24,Burnley FC,Southampton FC
2018-02-24,Brighton & Hove Albion,Swansea City FC
2018-02-24,Arsenal FC,Manchester City FC
2018-02-24,AFC Bournemouth,Newcastle United FC
2018-02-24,Crystal Palace FC,Tottenham Hotspur FC
2018-02-24,Leicester City FC,Stoke City FC
2018-02-24,Liverpool FC,West Ham United FC
2018-02-24,Manchester United FC,Chelsea FC
2018-02-24,Watford FC,Everton FC
2018-02-24,West Bromwich Albion FC,Huddersfield Town
2018-03-03,Crystal Palace FC,Manchester United FC
2018-03-03,Burnley FC,Everton FC
2018-03-03,Brighton & Hove Albion,Arsenal FC
2018-03-03,Liverpool FC,Newcastle United FC
2018-03-03,Leicester City FC,AFC Bournemouth
2018-03-03,Watford FC,West Bromwich Albion FC
2018-03-03,Manchester City FC,Chelsea FC
2018-03-03,Southampton FC,Stoke City FC
2018-03-03,Swansea City FC,West Ham United FC
2018-03-03,Tottenham Hotspur FC,Huddersfield Town
2018-03-10,Chelsea FC,Crystal Palace FC
2018-03-10,Arsenal FC,Watford FC
2018-03-10,AFC Bournemouth,Tottenham Hotspur FC
2018-03-10,Everton FC,Brighton & Hove Albion
2018-03-10,Huddersfield Town,Swansea City FC
2018-03-10,Manchester United FC,Liverpool FC
2018-03-10,Newcastle United FC,Southampton FC
2018-03-10,Stoke City FC,Manchester City FC
2018-03-10,West Bromwich Albion FC,Leicester City FC
2018-03-10,West Ham United FC,Burnley FC
2018-03-17,AFC Bournemouth,West Bromwich Albion FC
2018-03-17,Burnley FC,Chelsea FC
2018-03-17,Leicester City FC,Arsenal FC
2018-03-17,Liverpool FC,Watford FC
2018-03-17,Manchester City FC,Brighton & Hove Albion
2018-03-17,Stoke City FC,Everton FC
2018-03-17,Swansea City FC,Southampton FC
2018-03-17,Tottenham Hotspur FC,Newcastle United FC
2018-03-17,West Ham United FC,Manchester United FC
2018-03-17,Huddersfield Town,Crystal Palace FC
2018-03-31,Arsenal FC,Stoke City FC
2018-03-31,Brighton & Hove Albion,Leicester City FC
2018-03-31,Chelsea FC,Tottenham Hotspur FC
2018-03-31,Crystal Palace FC,Liverpool FC
2018-03-31,Everton FC,Manchester City FC
2018-03-31,Manchester United FC,Swansea City FC
2018-03-31,Newcastle United FC,Huddersfield Town
2018-03-31,Watford FC,AFC Bournemouth
2018-03-31,West Bromwich Albion FC,Burnley FC
2018-03-31,West Ham United FC,Southampton FC
2018-04-07,AFC Bournemouth,Crystal Palace FC
2018-04-07,Arsenal FC,Southampton FC
2018-04-07,Brighton & Hove Albion,Huddersfield Town
2018-04-07,Chelsea FC,West Ham United FC
2018-04-07,Everton FC,Liverpool FC
2018-04-07,Leicester City FC,Newcastle United FC
2018-04-07,Manchester City FC,Manchester United FC
2018-04-07,Stoke City FC,Tottenham Hotspur FC
2018-04-07,Watford FC,Burnley FC
2018-04-07,West Bromwich Albion FC,Swansea City FC
2018-04-14,Huddersfield Town,Watford FC
2018-04-14,Crystal Palace FC,Brighton & Hove Albion
2018-04-14,Burnley FC,Leicester City FC
2018-04-14,Southampton FC,Chelsea FC
2018-04-14,Liverpool FC,AFC Bournemouth
2018-04-14,Manchester United FC,West Bromwich Albion FC
2018-04-14,West Ham United FC,Stoke City FC
2018-04-14,Tottenham Hotspur FC,Manchester City FC
2018-04-14,Swansea City FC,Everton FC
2018-04-14,Newcastle United FC,Arsenal FC
2018-04-21,AFC Bournemouth,Manchester United FC
2018-04-21,Arsenal FC,West Ham United FC
2018-04-21,Brighton & Hove Albion,Tottenham Hotspur FC
2018-04-21,Chelsea FC,Huddersfield Town
2018-04-21,Leicester City FC,Southampton FC
2018-04-21,Everton FC,Newcastle United FC
2018-04-21,West Bromwich Albion FC,Liverpool FC
2018-04-21,Watford FC,Crystal Palace FC
2018-04-21,Stoke City FC,Burnley FC
2018-04-21,Manchester City FC,Swansea City FC
2018-04-28,Burnley FC,Brighton & Hove Albion
2018-04-28,Crystal Palace FC,Leicester City FC
2018-04-28,Huddersfield Town,Everton FC
2018-04-28,Liverpool FC,Stoke City FC
2018-04-28,Manchester United FC,Arsenal FC
2018-04-28,Newcastle United FC,West Bromwich Albion FC
2018-04-28,Southampton FC,AFC Bournemouth
2018-04-28,Swansea City FC,Chelsea FC
2018-04-28,Tottenham Hotspur FC,Watford FC
2018-04-28,West Ham United FC,Manchester City FC
2018-05-05,AFC Bournemouth,Swansea City FC
2018-05-05,Arsenal FC,Burnley FC
2018-05-05,Brighton & Hove Albion,Manchester United FC
2018-05-05,Chelsea FC,Liverpool FC
2018-05-05,Everton FC,Southampton FC
2018-05-05,Leicester City FC,West Ham United FC
2018-05-05,Manchester City FC,Huddersfield Town
2018-05-05,Stoke City FC,Crystal Palace FC
2018-05-05,Watford FC,Newcastle United FC
2018-05-05,West Bromwich Albion FC,Tottenham Hotspur FC
2018-05-13,Crystal Palace FC,West Bromwich Albion FC
2018-05-13,Huddersfield Town,Arsenal FC
2018-05-13,Liverpool FC,Brighton & Hove Albion
2018-05-13,Manchester United FC,Watford FC
2018-05-13,Newcastle United FC,Chelsea FC
2018-05-13,Southampton FC,Manchester City FC
2018-05-13,Swansea City FC,Stoke City FC
2018-05-13,Tottenham Hotspur FC,Leicester City FC
2018-05-13,West Ham United FC,Everton FC
2018-05-13,Burnley FC,AFC Bournemouth
